brand,product_url,wifi_version,net_port
中兴,https://detail.tmall.com/item.htm?id=676841314644,WiFi6,全千兆网口
小米,https://detail.tmall.com/item.htm?id=913239388745,WiFi6,全千兆网口
TP-LINK,https://detail.tmall.com/item.htm?id=651779328085,WiFi6,全千兆网口
